timestamp,open,high,low,close,volume
1690293600000,29275.13,29336.99,29249.12,29272.01,141.497435
1690295400000,29272.01,29272.01,29158.4,29179.65,110.316013
1690297200000,29179.65,29231.99,29171.99,29196,60.370892
1690299000000,29196,29224.47,29182,29183.99,74.241877
1690300800000,29183.99,29291.99,29175.78,29226.68,79.552385
1690302600000,29226.68,29251.6,29202,29231.89,78.606743
1690304400000,29231.89,29267.99,29189.24,29267.98,79.823048
1690306200000,29267.98,29283.99,29242,29273.99,34.822341
1690308000000,29273.99,29301.44,29263.5,29277.77,50.94807
1690309800000,29277.77,29372.79,29258.51,29265.99,140.073562
1690311600000,29265.99,29275.99,29250,29258.97,41.440671
1690313400000,29258.97,29260,29198.18,29198.22,46.702215
1690315200000,29198.22,29235.39,29179.48,29227.83,89.595541
1690317000000,29227.83,29240.53,29224,29232.42,35.565885
1690318800000,29232.42,29244.73,29227.11,29244.73,35.104619
1690320600000,29244.73,29244.73,29214.37,29226.71,13.250814
1690322400000,29226.71,29251.99,29215.81,29219.97,34.153028
1690324200000,29219.97,29220.69,29204.42,29205.99,18.720582
1690326000000,29205.99,29215.99,29200.5,29211.25,21.517178
1690327800000,29211.25,29243.59,29208,29232,24.722879
1690329600000,29232,29232.98,29144.01,29189.54,72.69121
1690331400000,29189.54,29189.63,29155.82,29170.89,52.526988
1690333200000,29170.89,29173.99,29126.41,29156,52.512945
1690335000000,29156,29156.01,29100.1,29134.33,55.489126
1690336800000,29134.33,29182.57,29134.32,29182.57,31.440673
1690338600000,29182.57,29294.99,29164.61,29284,43.343265
1690340400000,29284,29405.48,29238.01,29238.01,222.931334
1690342200000,29238.01,29252.72,29216.16,29246,31.249257
1690344000000,29246,29246,29212.03,29217,68.147796
1690345800000,29217,29230,29202.68,29202.69,23.349099
1690347600000,29202.69,29240.92,29198,29225.4,37.569823
1690349400000,29225.4,29275,29222.4,29270.08,32.284191
1690351200000,29270.08,29270.09,29254.5,29267.98,38.058951
1690353000000,29267.98,29316.52,29190.69,29208.49,191.878925
1690354800000,29208.49,29246,29206.49,29212.12,62.227244
1690356600000,29212.12,29215.72,29199.99,29212,27.082638
1690358400000,29212,29229.99,29212,29214,32.53627
1690360200000,29214,29237.87,29210.09,29218.01,22.703062
1690362000000,29218.01,29228.52,29192.55,29192.56,40.306597
1690363800000,29192.56,29203.5,29168.47,29193.75,48.949119
1690365600000,29193.75,29195,29166.22,29186.21,41.918845
1690367400000,29186.21,29200,29177.99,29196.01,28.695145
1690369200000,29196.01,29211.99,29193.99,29200.09,30.071562
1690371000000,29200.09,29204.11,29163.53,29174.59,48.016851
1690372800000,29174.59,29232.9,29165.99,29232.9,30.12795
1690374600000,29232.9,29237.99,29216.85,29227.12,45.686559
1690376400000,29227.12,29318.99,29227.12,29253.99,104.61571
1690378200000,29253.99,29313.98,29235.99,29305.5,88.801582
1690380000000,29305.5,29355.27,29214.25,29295,114.191085
1690381800000,29295,29319.99,29263.5,29268,79.756138
1690383600000,29268,29309.83,29267.99,29295.8,83.789298
1690385400000,29295.8,29335.31,29295.79,29323.99,99.148719
1690387200000,29323.99,29364.7,29272.01,29290.98,207.08137
1690389000000,29290.98,29331.99,29286.01,29303.27,144.13208
1690390800000,29303.27,29321.35,29278.58,29294.75,89.815309
1690392600000,29294.75,29319.89,29241.14,29267.93,142.352831
1690394400000,29267.93,29437.35,29230.51,29291.94,857.077599
1690396200000,29291.94,29490,29279.21,29372.09,635.095881
1690398000000,29372.09,29383.87,29194.01,29364,258.446866
1690399800000,29364,29401.34,29338,29401.34,83.271881
1690401600000,29401.34,29544.88,29389.04,29480,305.800826
1690403400000,29480,29676.44,29478.01,29575.96,328.013059
1690405200000,29575.96,29656.33,29433.32,29502.13,208.685669
1690407000000,29502.13,29547.98,29460,29461.99,60.162836
1690408800000,29461.99,29503.5,29451.57,29455.99,87.090627
1690410600000,29455.99,29479.89,29431.07,29476.01,155.582534
1690412400000,29476.01,29527.89,29361.01,29384,275.26401
1690414200000,29384,29387.99,29283.53,29350,231.306522
1690416000000,29350,29350,29306.01,29339.24,60.75622
1690417800000,29339.24,29360.09,29303.07,29355.49,89.212782
1690419600000,29355.49,29413.6,29339,29404.53,68.133782
1690421400000,29404.53,29413.5,29367.27,29402.01,32.309203
1690423200000,29402.01,29407.98,29352.01,29358.58,32.685883
1690425000000,29358.58,29438.06,29357.13,29437.33,44.677501
1690426800000,29437.33,29437.33,29418.53,29418.54,14.314111
1690428600000,29418.54,29447.01,29410.16,29410.17,16.106976
1690430400000,29410.17,29447.88,29410,29447.88,8.440029
1690432200000,29447.88,29486,29447.87,29485.98,28.823341
1690434000000,29485.98,29496.8,29470.26,29470.26,51.232187
1690435800000,29470.26,29481.99,29453.41,29464.01,35.048696
1690437600000,29464.01,29477.31,29449.99,29449.99,21.905265
1690439400000,29449.99,29449.99,29382.6,29387.99,38.251497
1690441200000,29387.99,29449.68,29386,29439.99,54.466995
1690443000000,29439.99,29467.2,29412.85,29416,91.445817
1690444800000,29416,29434.09,29402,29434.09,38.949795
1690446600000,29434.09,29470.93,29425.58,29469.99,110.816973
1690448400000,29469.99,29545.4,29468.26,29513.78,97.630495
1690450200000,29513.78,29569.93,29505.99,29548.95,62.162296
1690452000000,29548.95,29553.79,29518.5,29532.59,71.673215
1690453800000,29532.59,29532.59,29474.27,29478.55,40.153483
1690455600000,29478.55,29494.43,29469.99,29480.82,39.717578
1690457400000,29480.82,29523.38,29478.01,29512.01,44.237416
1690459200000,29512.01,29512.01,29486.78,29486.79,28.620825
1690461000000,29486.79,29499,29464,29496.11,52.820694
1690462800000,29496.11,29501.93,29458.34,29469,22.290443
1690464600000,29469,29500.97,29432.66,29448.8,86.487729
1690466400000,29448.8,29448.8,29363.27,29391.49,79.115
1690468200000,29391.49,29403.67,29322.16,29347.99,81.859815
1690470000000,29347.99,29349.99,29240,29329.48,204.916943
1690471800000,29329.48,29358.47,29294.27,29294.27,94.34098
1690473600000,29294.27,29303.99,29261.81,29283.99,56.378353
1690475400000,29283.99,29327.99,29268.27,29272.49,67.652391
1690477200000,29272.49,29286.91,29172,29274.47,104.394346
1690479000000,29274.47,29283.98,29218.25,29219.56,83.30265
1690480800000,29219.56,29247.14,29166.81,29180.47,92.424295
1690482600000,29180.47,29198.76,29085.99,29139.59,162.213037
1690484400000,29139.59,29177.99,29127.45,29146.26,60.957998
1690486200000,29146.26,29171.99,29105.11,29163.75,76.446709
1690488000000,29163.75,29189.99,29154,29164,56.818321
1690489800000,29164,29168.73,29133.54,29143.73,41.351961
1690491600000,29143.73,29180,29141.74,29180,39.403603
