timestamp,open,high,low,close,volume
1721775600000,65923.58,66058.24,65787.57,65939.31,412.489804
1721779200000,65939.31,66159.14,65759.15,65783.9,626.229186
1721782800000,65783.9,66125.47,65618.19,65671.69,819.736092
1721786400000,65671.69,65934.33,65476.25,65880.87,600.790716
1721790000000,65880.87,66115.99,65783.97,66047.12,501.795364
1721793600000,66047.12,66074.33,65771.72,65857.79,446.315277
1721797200000,65857.79,65918.4,65614.8,65809.48,420.02722
1721800800000,65809.48,66011.11,65754.77,65895.59,485.379156
1721804400000,65895.59,66083.84,65862.91,66079.27,372.331138
1721808000000,66079.27,66460.61,66001.22,66440.58,618.293332
1721811600000,66440.58,66484.05,66297.14,66406.77,385.618984
1721815200000,66406.77,66620.07,66356.66,66507.98,484.351583
1721818800000,66507.98,66571.17,66344.21,66378.59,433.185533
1721822400000,66378.59,66584.95,66175.89,66223.3,572.004587
1721826000000,66223.3,66923.19,66205.35,66350.79,973.961744
1721829600000,66350.79,67112.98,66291.6,66759.68,1011.453701
1721833200000,66759.68,66821.86,66091.75,66176.93,1095.402846
1721836800000,66176.93,66495.58,65968.75,66388.4,1209.360486
1721840400000,66388.4,66713.3,66315.15,66590.76,738.922364
1721844000000,66590.76,66657.64,65714.55,65766.65,1158.911634
1721847600000,65766.65,66117.15,65563.39,65658.45,916.245373
1721851200000,65658.45,66080.64,65651.19,66053.79,539.199154
1721854800000,66053.79,66073.99,65072.02,65651.86,669.613949
1721858400000,65651.86,65675.42,65250.69,65293.35,612.728503
1721862000000,65293.35,65467.54,65100,65377.2,579.171718
1721865600000,65377.2,65631.1,65273.22,65508.64,638.215076
1721869200000,65508.64,65511.89,64212.32,64479.24,1846.653205
1721872800000,64479.24,64484.98,63939.42,64198.79,1234.591464
1721876400000,64198.79,64292.13,63859.17,64096.23,1007.496893
1721880000000,64096.23,64288.07,63781.21,64225.15,725.807337
1721883600000,64225.15,64341.21,64121.95,64264.54,430.010996
1721887200000,64264.54,64371.9,64081.13,64322.24,460.725642
1721890800000,64322.24,64395.44,64043.01,64135.44,611.10815
1721894400000,64135.44,64414.59,63862.56,64355.1,1059.981158
1721898000000,64355.1,64482.65,64213.72,64314.94,534.284041
1721901600000,64314.94,64318.06,63967.1,64154.6,774.378693
1721905200000,64154.6,64291.21,64080.52,64094.3,550.179905
1721908800000,64094.3,64406.48,63910.66,64127.4,711.773772
1721912400000,64127.4,64366.59,63732.05,64046.7,1114.431752
1721916000000,64046.7,64851.11,63443.43,64836.71,1720.031755
1721919600000,64836.71,65017.86,64531.65,64797.25,834.354902
1721923200000,64797.25,65177,64620.41,64866.95,940.099375
1721926800000,64866.95,65069.45,64756.54,65043.81,806.200105
1721930400000,65043.81,65188.39,64378.6,64558.81,1022.639352
1721934000000,64558.81,65009.39,64385.36,64683.1,971.922021
1721937600000,64683.1,65302.05,64408.35,65292.25,971.115011
1721941200000,65292.25,66040.04,65212.58,65839.41,792.20074
1721944800000,65839.41,66190.32,65638.89,65646.01,651.116514
1721948400000,65646.01,65824.08,65627.62,65805.11,423.282141
1721952000000,65805.11,66455,65722.43,66381.81,900.991088
1721955600000,66381.81,66568.67,66218.13,66435.93,713.058128
1721959200000,66435.93,67192,66392.37,67002.95,963.476242
1721962800000,67002.95,67482.87,66918.82,67044.5,1018.723139
1721966400000,67044.5,67124.47,66890.5,67078.14,575.859767
1721970000000,67078.14,67108.82,66869.46,66926.3,464.06205
1721973600000,66926.3,67169.4,66881.98,67067.1,466.875476
1721977200000,67067.1,67190,66878.28,66906.62,496.10926
1721980800000,66906.62,67150.73,66896.74,67102.3,382.505086
1721984400000,67102.3,67507.84,67075.08,67295.22,564.487843
1721988000000,67295.22,67412.7,67167.93,67303.95,485.567502
1721991600000,67303.95,67377.96,67145.82,67326.71,442.485441
1721995200000,67326.71,67415,67079.97,67313.71,671.330078
1721998800000,67313.71,67999.91,67163.91,67899.61,1297.065923
1722002400000,67899.61,68007.79,66883.17,67331.72,1319.539032
1722006000000,67331.72,67763.4,67285.85,67560.04,842.8292
1722009600000,67560.04,67690.19,67366.92,67405.78,802.696992
1722013200000,67405.78,67609.42,67303.91,67371.11,847.270925
